Role,Driver,Profile,Same node,Host Network,Service,Duration,Parallelism,# of Samples,Message Size,Burst,Confidence metric - low,Confidence metric - high,Pod Name,Utilization
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,aws-ebs-csi-driver-node-zd2j4,44654592.000000
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,dns-default-94994,42446848.000000
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,router-default-7dc6749db-jlqcd,49754112.000000
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,machine-config-daemon-ljdst,49422336.000000
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,alertmanager-main-1,109711360.000000
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,kube-state-metrics-59d46448cd-9cgq2,86175744.000000
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,metrics-server-69c9dff856-shm6f,44085248.000000
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,telemeter-client-7d76f7445c-z8xlc,50012160.000000
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,network-metrics-daemon-r7xgh,33353728.000000
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,ovnkube-node-ffs5k,133349376.000000
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,aws-ebs-csi-driver-node-t2cds,42504192.000000
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,tuned-nbtr4,36798464.000000
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,dns-default-n2988,45740032.000000
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,ingress-canary-fk8v2,32296960.000000
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,machine-config-daemon-q5544,49315840.000000
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,node-exporter-sc42n,35315712.000000
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,prometheus-k8s-0,1912225792.000000
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,thanos-querier-794d6765bd-wk6qc,107044864.000000
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,network-metrics-daemon-fnxbt,39059456.000000
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,ovnkube-node-522cq,124993536.000000
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,aws-ebs-csi-driver-node-zd2j4,44503040.000000
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,dns-default-94994,42446848.000000
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,router-default-7dc6749db-jlqcd,49762304.000000
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,machine-config-daemon-ljdst,50094080.000000
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,alertmanager-main-1,109715456.000000
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,kube-state-metrics-59d46448cd-9cgq2,86253568.000000
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,metrics-server-69c9dff856-shm6f,44085248.000000
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,telemeter-client-7d76f7445c-z8xlc,50065408.000000
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,network-metrics-daemon-r7xgh,33374208.000000
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,ovnkube-node-ffs5k,133500928.000000
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,aws-ebs-csi-driver-node-t2cds,42647552.000000
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,tuned-nbtr4,36798464.000000
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,dns-default-n2988,45744128.000000
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,ingress-canary-fk8v2,32296960.000000
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,machine-config-daemon-q5544,47710208.000000
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,node-exporter-sc42n,35508224.000000
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,prometheus-k8s-0,1895047168.000000
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,thanos-querier-794d6765bd-wk6qc,107053056.000000
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,network-metrics-daemon-fnxbt,39161856.000000
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,ovnkube-node-522cq,125206528.000000
